# List of some borrowed words into Chinese that were transliterated by sound.
# Data from http://blog.chinesehour.com/?p=1259 (with meaning-translated words removed).
# And from http://blog.netat.net/?action-viewnews-itemid-17455	
# English	Chinese	Pinyin	Other names
AIDS	爱滋	àizībìng	爱滋病
aspirin	阿司匹林	āsīpǐlín	阿斯匹林
bacon	培根	péigēn	咸肉
ballet	芭蕾舞	bālěi	芭蕾舞
bandage	绷带	bēngdài	绑带
bar	吧	bā	酒吧
beer	啤	pí	啤酒
Beetles	披头士	pītóushì	甲壳虫乐队
bikini	比基尼	bǐjīní	泳装
bowling	保龄	bǎolíng	保龄球
brandy	白兰地	báilándì	-
bungee	蹦极	bèngjí	蹦极跳
bus	巴士	bāshì	公共汽车
bye-bye	拜拜	bàibai 	再见
carat	克拉	kèlā	-
card	卡	kǎ	卡片
cashmere	开司米	kāisīmǐ	-
cha-cha	恰恰	qiàqià	恰恰舞
cheese  	芝士  	奶酪
chocolate	巧克力	qiǎokèlì	朱古力
cigar	雪茄	xuějiā	-
clone	克隆	kèlóng	无性繁殖
Coca-cola	可口可乐	kěkǒu kělè	-
coffee	咖啡	kāfēi	加啡、架啡
cool	酷	kù	凉爽	
copy	拷贝	kǎobèi	复印，复制
curry	咖喱	gālí	-
disco	迪斯科	dísīkē	的士高
Disney	迪斯尼	dísīní	-
dozen	打	dǎ	大、打臣、大臣
E-mail	伊妹儿	yīmèir 	电子邮件
engine	引擎	yǐnqíng 	发动机
eureka	尤里卡	yóu lǐ qiǎ	-
gene	基因	jīyīn	-
golf	高尔夫	gāoěrfū	高尔夫球
guitar	吉他	jítā	吉它、吉榻、吉泰、结他
hacker	黑客	hēikè	骇客
hamburger	汉堡	hànbǎo	汉堡包
hippie	嬉皮	xīpí	嬉皮士
hormone	荷尔蒙	héěrměng 	激素
humor	幽默	yōumò	风趣、笑林
hysteric	歇斯底里	xiēsīdǐlǐ	癔病
IELTS	雅思	yǎsī	-
jazz	爵士	juéshì	爵士舞
Jesus	基督	jīdū	-
laser 	镭射	léishè	激光、雷射
mango	芒果	mángguǒ	杧果、檬果、蚊胶
marathon	马拉松	mǎlāsōng	-
metre	米	mǐ	长度单位
microphone 	麦克风	màikèfēng 	扩音、传声器、话筒
model	模特	mote	展示服装的人或模型
mosaic	马赛克	mǎ sài kè	-
mummy	木乃伊	mùnǎiyī	妈咪
neon	霓虹	níhóng	霓虹灯
Newton	牛顿	niúdùn	-
Nobel	诺贝尔	nuòbèiěr	-
nylon	尼龙	nílóng	尼纶
Olympics	奥林匹克	àolínpǐkè	奥运会
OPEC	欧佩克	ōupèikè	石油输出国组织
Oscar	奥斯卡	àosīkǎ	-
party	派对	pài duì	聚会、舞会
paste	配司	pèisī	粘贴
pie	派	pài	馅饼、排
poker	扑克	pūkè	-
pudding	布丁  	布甸
punk	朋克	péngkè	-
radar	雷达	léidá	-
rally	拉力	lālì	拉力赛、集会
romantic	罗曼蒂克	luómàndìkè	浪漫
salad	色拉	sèlā	沙拉、沙辣、沙律
sandwich	三明治	sānmíngzhì	三文治
sauna	桑拿	sāngná	桑拿浴、芬兰式蒸汽浴
shampoo	香波	xiāngbō	洗发水
shock	休克	xiūkè	揕
shopping mall	销品茂	xiāopǐnmào	购物中心
simmons	席梦思	xímèngsī	-
sofa	沙发	shāfā	-
store	士多	shì duō	士多店、商店
talk show	脱口秀	tuōkǒuxiù	-
tank	坦克	tǎnkè	坦克车
taxi	的士	dí shì	出租汽车
teflon	特氟隆	tè fú lóng	聚四氟乙烯
tin	听	tīng	罐
tip	提示	tiēshì	建议、贴士
toast	土司	tǔsī	烤面包
TOEFL	托福	tuōfú	-
ton	吨	dūn	公制重量单位
totem	图腾	túténg	-
viagra	伟哥	wěigē	-
vitamin	维他命	wéitāmìng	维生素
waltz	华尔兹	huáěrzī	-
yuppies	雅皮士	yǎpíshì	-
