# List of standard transcriptions of foreign names in to Chinese
# Data collected from http://www.chinese-tools.com/names 2010-02-07
# Name	Hanzi	Pinyin
Aaliyah	阿丽娅	Ā lì yà
Aaron	阿隆	Ā lōng
Abadie	阿巴迪	Ā bā dí
Abbas	阿巴斯	Ā bā sī
Abby	阿碧	Ā bì
Abdel	阿卜杜勒	Ā bǔ dù lè
Abdelfettah	阿卜德菲塔	Ā bǔ dé fēi tǎ
Abdelhak	阿卜德拉克	Ā bǔ dé lā kè
Abderrahim	阿卜德哈伊姆	Ā bǔ dé hā yī mǔ
Abdias	阿布迪阿斯	Ā Bù dí Ā sī
Abdón	阿夫东	Ā fū dōng
Abdou	阿卜杜	Ā bǔ dù
Abdoulaye	阿卜杜拉耶	Ā bǔ dù lā yē
Abdul	阿卜杜勒	Ā bǔ dù lè
Abdulaziz	阿卜杜拉希斯	Ā bǔ dù lā xī sī
Abdulla	阿卜杜拉	Ā bǔ dù lā
Abel	阿贝尔	Ā bèi ěr
Abélard	阿贝拉尔	Ā bèi lā ěr
Abelardo	阿维拉多	Ā wéi lā duō
Abella	阿维利亚	Ā wéi lì yà
Abi	阿比	Ā bǐ
Abian	阿维安	Ā wéi ān
Abie	阿碧	Ā bì
Abigail	阿比盖尔	Ā bǐ gài ěr
Abílio	阿比利奥	Ā bǐ lì ào
Abraham	亚伯拉罕	Yà bó lā hǎn
Abrahan	亚伯拉罕	Yà bó lā hǎn
Abril	阿夫里尔	Ā fū lǐ r
Absalón	阿夫萨隆	Ā fū sà lóng
Abyssinia	阿比西尼亚	Ā bǐ xī ní yà
Acedo	阿塞多	Ā sài duō
Acero	阿塞罗	Ā sài luó
Acevedo	阿塞维多	Ā sài wéi duō
Acher	阿切尔	Ā qiēr
Achille	阿希尔	Ā xī ěr
Achraf	阿什哈弗	Ā shí hā fú
Acoran	阿克兰	Ā kè lán
Acorayda	阿科蕾达	Ā kē lěi dá
Ada	阿达	Ā dá
Adaberto	阿达尔维托	Ā dá rwéi tuō
Adalbert	阿达贝	Ā dá bèi
Adaluz	阿达鲁斯	Ā dá lǔ sī
Adam	亚当	Yà dāng
Adam	亚当	Yà dāng
Adán	阿丹	Ā dān
Adão	亚当	Yà dāng
Adara	阿达拉	Ā dá lā
Ade	阿德	Ā dé
