# Sources of data:
#
# * Frequency and Stroke Counts of Chinese Characters
#   http://technology.chtsai.org/charfreq/
#
# - Mandarin Syllable Frequency Counts for Chinese Characters
#   http://technology.chtsai.org/syllable/
#
# Both are put under GPL by Chih-Hao Tsai.
#
# char	rank	pinyin
#
的	1	de0
是	2	shi4
不	3	bu4
我	4	wo3
一	5	yi1
有	6	you3
大	7	da4
在	8	zai4
人	9	ren2
了	10	liao3
中	11	zhong1
到	12	dao4
資	13	zi1
要	14	yao4
以	15	yi3
可	16	ke3
這	17	zhe4
個	18	ge4
你	19	ni3
會	20	hui4
好	21	hao3
為	22	wei2
上	23	shang4
來	24	lai2
學	25	xue2
就	26	jiu4
交	27	jiao1
也	28	ye3
用	29	yong4
能	30	neng2
如	31	ru2
時	32	shi2
文	33	wen2
說	34	shuo1
沒	35	mei2
他	36	ta1
看	37	kan4
那	38	na3
問	39	wen4
生	40	sheng1
提	41	ti2
下	42	xia4
過	43	guo4
請	44	qing3
們	45	men0
天	46	tian1
所	47	suo3
多	48	duo1
麼	49	mo0
小	50	xiao3
之	51	zhi1
想	52	xiang3
得	53	de2
工	54	gong1
出	55	chu1
還	56	huan2
電	57	dian4
對	58	dui4
都	59	du1
機	60	ji1
自	61	zi4
而	62	er2
子	63	zi3
後	64	hou4
訊	65	xun4
家	66	jia1
站	67	zhan4
心	68	xin1
只	69	zhi3
去	70	qu4
知	71	zhi1
國	72	guo2
很	73	hen3
台	74	tai2
成	75	cheng2
信	76	xin4
同	77	tong2
何	78	he2
章	79	zhang1
道	80	dao4
發	81	fa1
地	82	di4
法	83	fa3
無	84	wu2
然	85	ran2
但	86	dan4
當	87	dang1
於	88	yu2
嗎	89	ma1
本	90	ben3
年	91	nian2
現	92	xian4
前	93	qian2
最	94	zui4
真	95	zhen1
新	96	xin1
和	97	he2
因	98	yin1
果	99	guo3
意	100	yi4
定	101	ding4
點	102	dian3
情	103	qing2
其	104	qi2
題	105	ti2
事	106	shi4
科	107	ke1
方	108	fang1
些	109	xie1
清	110	qing1
三	111	san1
樣	112	yang4
此	113	ci3
吧	114	ba1
位	115	wei4
作	116	zuo4
理	117	li3
行	118	xing2
者	119	zhe3
經	120	jing1
名	121	ming2
什	122	shi2
謝	123	xie4
日	124	ri4
正	125	zheng4
開	126	kai1
話	127	hua4
與	128	yu3
實	129	shi2
愛	130	ai4
