# List of about 50 large cities in Chinese.
# Data from http://www.nciku.com/theme/detail?catg2ID=49
# English	Chinese	Pinyin
Algiers	阿尔及尔	ā'ěrjí'ěr
Amsterdam	阿姆斯特丹	āmǔsītèdān
Ankara	安卡拉	ānkǎlā
Athens	雅典	yǎdiǎn
Bangkok	曼谷	màngǔ
Barcelona	巴塞罗那	bāsàiluónà
Beijing	北京	běijīng
Berlin	柏林	bólín
Boston	波士顿	bōshìdùn
Brussels	布鲁塞尔	bùlǔsāi'ěr
Cairo	开罗	kāiluó
Chicago	芝加哥	zhījiāgē
Copenhagen	哥本哈根	gēběnhāgēn
Delhi	德里	délǐ
Guadalajara	瓜达拉哈拉	guādálāhālā
Havana	哈瓦那	hāwǎnà
Helsinki	赫尔辛基	hè'ěrxīnjī
Hong Kong	香港	xiānggǎng
Jakarta	雅加达	yǎjiādá
Jerusalem	耶路撒冷	yēlùsālěng
Katmandu	加德满都	jiādémǎndōu
Kuala Lumpur	吉隆坡	jílóngpō
Lima	利马	lìmǎ
Lisbon	里斯本	lǐsīběn
London	伦敦	lúndūn
Los Angeles	洛杉矶	luòshānjī
Madrid	马德里	mǎdélǐ
Melbourne	墨尔本	mò'ěrběn
Mexico City	墨西哥城	mòxīgēchéng
Miami	迈阿密	mài'āmì
Milan	米兰	mǐlán
Moscow	莫斯科	mòsīkē
Nairobi	内罗毕	nèiluóbì
New Orleans	新奥尔良	xīn'ào'ěrliáng
New York	纽约	niǔyuē
Oslo	奥斯陆	àosīlù
Paris	巴黎	bālí
Prague	布拉格	bùlāgé
Rio de Janeiro	里约热内卢	lǐyuērènèilú
Rome	罗马	luómǎ
San Francisco	圣弗朗西斯科	shèngfúlǎngxīsīkē
San Juan	圣胡安	shènghú’ān
Santiago	圣地亚哥	shèngdìyàgē
Santo Domingo	圣多明各	shèngduōmínggè
Seoul	首尔	Shǒu'ěr
Shanghai	上海	shànghǎi
Singapore	新加坡	xīnjiāpō
Stockholm	斯德哥尔摩	sīdégē'ěrmó
Sydney	悉尼	xīní
Tahiti	塔希提岛	tǎxītídǎo
Taipei	台北	táiběi
Tokyo	东京	dōngjīng
Toronto	多伦多	duōlúnduō
Tunis	突尼斯	tūnísī
Venice	威尼斯	wēinísī
Vienna	维也纳	wéiyěnà

